Number of entities: 1145
Valid tirp: 
event: ['110', '125'], temporal relation: =
event: ['110', '128'], temporal relation: =
event: ['110', '13'], temporal relation: =
event: ['110', '130'], temporal relation: =
event: ['110', '134'], temporal relation: =
event: ['110', '137'], temporal relation: =
event: ['110', '140'], temporal relation: =
event: ['110', '143'], temporal relation: =
event: ['110', '17'], temporal relation: =
event: ['110', '2'], temporal relation: =
event: ['110', '20'], temporal relation: =
event: ['110', '23'], temporal relation: =
event: ['110', '26'], temporal relation: =
event: ['110', '29'], temporal relation: =
event: ['110', '31'], temporal relation: =
event: ['110', '35'], temporal relation: =
event: ['110', '38'], temporal relation: =
event: ['110', '42'], temporal relation: =
event: ['110', '44'], temporal relation: =
event: ['110', '47'], temporal relation: =
event: ['110', '5'], temporal relation: =
event: ['110', '50'], temporal relation: =
event: ['110', '53'], temporal relation: =
event: ['110', '56'], temporal relation: =
event: ['110', '62'], temporal relation: =
event: ['110', '65'], temporal relation: =
event: ['110', '69'], temporal relation: =
event: ['110', '71'], temporal relation: =
event: ['110', '74'], temporal relation: =
event: ['110', '8'], temporal relation: =
event: ['110', '80'], temporal relation: =
event: ['110', '83'], temporal relation: =
event: ['110', '85'], temporal relation: =
event: ['110', '89'], temporal relation: =
event: ['110', '92'], temporal relation: =
event: ['110', '95'], temporal relation: =
event: ['110', '98'], temporal relation: =
event: ['112', '116'], temporal relation: =
event: ['112', '119'], temporal relation: =
event: ['112', '123'], temporal relation: =
event: ['112', '125'], temporal relation: =
event: ['112', '128'], temporal relation: =
event: ['112', '130'], temporal relation: =
event: ['112', '134'], temporal relation: =
event: ['112', '137'], temporal relation: =
event: ['112', '140'], temporal relation: =
event: ['112', '143'], temporal relation: =
event: ['112', '17'], temporal relation: =
event: ['112', '2'], temporal relation: =
event: ['112', '20'], temporal relation: =
event: ['112', '23'], temporal relation: =
event: ['112', '26'], temporal relation: =
event: ['112', '29'], temporal relation: =
event: ['112', '31'], temporal relation: =
event: ['112', '35'], temporal relation: =
event: ['112', '38'], temporal relation: =
event: ['112', '42'], temporal relation: =
event: ['112', '44'], temporal relation: =
event: ['112', '47'], temporal relation: =
event: ['112', '50'], temporal relation: =
event: ['112', '53'], temporal relation: =
event: ['112', '56'], temporal relation: =
event: ['112', '62'], temporal relation: =
event: ['112', '65'], temporal relation: =
event: ['112', '69'], temporal relation: =
event: ['112', '71'], temporal relation: =
event: ['112', '74'], temporal relation: =
event: ['112', '8'], temporal relation: =
event: ['112', '80'], temporal relation: =
event: ['112', '83'], temporal relation: =
event: ['112', '85'], temporal relation: =
event: ['112', '89'], temporal relation: =
event: ['112', '92'], temporal relation: =
event: ['112', '95'], temporal relation: =
event: ['112', '98'], temporal relation: =
event: ['116', '119'], temporal relation: =
event: ['116', '123'], temporal relation: =
event: ['116', '125'], temporal relation: =
event: ['116', '128'], temporal relation: =
event: ['116', '13'], temporal relation: =
event: ['116', '130'], temporal relation: =
event: ['116', '134'], temporal relation: =
event: ['116', '137'], temporal relation: =
event: ['116', '140'], temporal relation: =
event: ['116', '143'], temporal relation: =
event: ['116', '17'], temporal relation: =
event: ['116', '2'], temporal relation: =
event: ['116', '20'], temporal relation: =
event: ['116', '23'], temporal relation: =
event: ['116', '26'], temporal relation: =
event: ['116', '29'], temporal relation: =
event: ['116', '31'], temporal relation: =
event: ['116', '35'], temporal relation: =
event: ['116', '38'], temporal relation: =
event: ['116', '42'], temporal relation: =
event: ['116', '44'], temporal relation: =
event: ['116', '47'], temporal relation: =
event: ['116', '5'], temporal relation: =
event: ['116', '50'], temporal relation: =
event: ['116', '53'], temporal relation: =
event: ['116', '56'], temporal relation: =
event: ['116', '62'], temporal relation: =
event: ['116', '65'], temporal relation: =
event: ['116', '69'], temporal relation: =
event: ['116', '71'], temporal relation: =
event: ['116', '74'], temporal relation: =
event: ['116', '8'], temporal relation: =
event: ['116', '80'], temporal relation: =
event: ['116', '83'], temporal relation: =
event: ['116', '85'], temporal relation: =
event: ['116', '89'], temporal relation: =
event: ['116', '92'], temporal relation: =
event: ['116', '95'], temporal relation: =
event: ['116', '98'], temporal relation: =
event: ['119', '123'], temporal relation: =
event: ['119', '125'], temporal relation: =
event: ['119', '128'], temporal relation: =
event: ['119', '13'], temporal relation: =
event: ['119', '130'], temporal relation: =
event: ['119', '134'], temporal relation: =
event: ['119', '137'], temporal relation: =
event: ['119', '140'], temporal relation: =
event: ['119', '143'], temporal relation: =
event: ['119', '17'], temporal relation: =
event: ['119', '2'], temporal relation: =
event: ['119', '20'], temporal relation: =
event: ['119', '23'], temporal relation: =
event: ['119', '26'], temporal relation: =
event: ['119', '29'], temporal relation: =
event: ['119', '31'], temporal relation: =
event: ['119', '35'], temporal relation: =
event: ['119', '38'], temporal relation: =
event: ['119', '42'], temporal relation: =
event: ['119', '44'], temporal relation: =
event: ['119', '47'], temporal relation: =
event: ['119', '5'], temporal relation: =
event: ['119', '50'], temporal relation: =
event: ['119', '53'], temporal relation: =
event: ['119', '56'], temporal relation: =
event: ['119', '62'], temporal relation: =
event: ['119', '65'], temporal relation: =
event: ['119', '69'], temporal relation: =
event: ['119', '71'], temporal relation: =
event: ['119', '74'], temporal relation: =
event: ['119', '8'], temporal relation: =
event: ['119', '80'], temporal relation: =
event: ['119', '83'], temporal relation: =
event: ['119', '85'], temporal relation: =
event: ['119', '89'], temporal relation: =
event: ['119', '92'], temporal relation: =
event: ['119', '95'], temporal relation: =
event: ['119', '98'], temporal relation: =
event: ['123', '125'], temporal relation: =
event: ['123', '128'], temporal relation: =
event: ['123', '130'], temporal relation: =
event: ['123', '134'], temporal relation: =
event: ['123', '137'], temporal relation: =
event: ['123', '140'], temporal relation: =
event: ['123', '143'], temporal relation: =
event: ['123', '17'], temporal relation: =
event: ['123', '2'], temporal relation: =
event: ['123', '20'], temporal relation: =
event: ['123', '23'], temporal relation: =
event: ['123', '26'], temporal relation: =
event: ['123', '29'], temporal relation: =
event: ['123', '31'], temporal relation: =
event: ['123', '35'], temporal relation: =
event: ['123', '38'], temporal relation: =
event: ['123', '42'], temporal relation: =
event: ['123', '44'], temporal relation: =
event: ['123', '47'], temporal relation: =
event: ['123', '50'], temporal relation: =
event: ['123', '53'], temporal relation: =
event: ['123', '56'], temporal relation: =
event: ['123', '62'], temporal relation: =
event: ['123', '65'], temporal relation: =
event: ['123', '69'], temporal relation: =
event: ['123', '71'], temporal relation: =
event: ['123', '74'], temporal relation: =
event: ['123', '8'], temporal relation: =
event: ['123', '80'], temporal relation: =
event: ['123', '83'], temporal relation: =
event: ['123', '85'], temporal relation: =
event: ['123', '89'], temporal relation: =
event: ['123', '92'], temporal relation: =
event: ['123', '95'], temporal relation: =
event: ['123', '98'], temporal relation: =
event: ['125', '128'], temporal relation: =
event: ['125', '13'], temporal relation: =
event: ['125', '130'], temporal relation: =
event: ['125', '134'], temporal relation: =
event: ['125', '137'], temporal relation: =
event: ['125', '140'], temporal relation: =
event: ['125', '143'], temporal relation: =
event: ['125', '17'], temporal relation: =
event: ['125', '2'], temporal relation: =
event: ['125', '20'], temporal relation: =
event: ['125', '23'], temporal relation: =
event: ['125', '26'], temporal relation: =
event: ['125', '29'], temporal relation: =
event: ['125', '31'], temporal relation: =
event: ['125', '35'], temporal relation: =
event: ['125', '38'], temporal relation: =
event: ['125', '42'], temporal relation: =
event: ['125', '44'], temporal relation: =
event: ['125', '47'], temporal relation: =
event: ['125', '5'], temporal relation: =
event: ['125', '50'], temporal relation: =
event: ['125', '53'], temporal relation: =
event: ['125', '56'], temporal relation: =
event: ['125', '62'], temporal relation: =
event: ['125', '65'], temporal relation: =
event: ['125', '69'], temporal relation: =
event: ['125', '71'], temporal relation: =
event: ['125', '74'], temporal relation: =
event: ['125', '8'], temporal relation: =
event: ['125', '80'], temporal relation: =
event: ['125', '83'], temporal relation: =
event: ['125', '85'], temporal relation: =
event: ['125', '89'], temporal relation: =
event: ['125', '92'], temporal relation: =
event: ['125', '95'], temporal relation: =
event: ['125', '98'], temporal relation: =
event: ['128', '13'], temporal relation: =
event: ['128', '130'], temporal relation: =
event: ['128', '134'], temporal relation: =
event: ['128', '137'], temporal relation: =
event: ['128', '140'], temporal relation: =
event: ['128', '143'], temporal relation: =
event: ['128', '17'], temporal relation: =
event: ['128', '2'], temporal relation: =
